config_id,window_id,alpha1_2d,alpha2_2d,xa_2d,xb_2d,delta_x_2d,total_strength_2d,k_center,window_width,wavelength,beta1_3d,beta2_3d,beta3_3d,x1_3d,x2_3d,x3_3d,total_strength_3d,spacing_12,spacing_23,total_extent_3d,mse_uniform
2.5,0,2,-2,0.0,5.97,5.97,4,0.526229925224421,0.26311496261221000,11.940000000000000,2.09362980102634,0.5000005692913730,3.9999939859732600,0.0,4.999996583159920,5.6896770273077000,6.593624356290980,4.999996583159920,0.6896804441477840,5.6896770273077000,4.08351467708808E-07
2.5,1,2,-2,0.0,5.97,5.97,4,1.052459850448840,0.26311496261221000,5.970000000000000,3.9999945660865200,3.9999945060925100,2.7592769290751500,0.0,0.33442491846665900,3.7755247236200400,10.759266001254200,0.33442491846665900,3.441099805153380,3.7755247236200400,3.30043488377061E-05
2.5,2,2,-2,0.0,5.97,5.97,4,1.578689775673260,0.26311496261221000,3.98,1.388729083767320,0.5000000204559030,2.271688750579730,0.0,1.6915167725379100,6.250531234790200,4.160417854802950,1.6915167725379100,4.559014462252300,6.250531234790200,1.18341106512553E-05
2.5,3,2,-2,0.0,5.97,5.97,4,2.104919700897680,0.26311496261221100,2.9850000000000000,1.6643827449713300,0.5000000622093550,2.206743332985520,0.0,2.7721385885703700,6.255064866469910,4.371126140166210,2.7721385885703700,3.482926277899540,6.255064866469910,4.05892440808365E-06
2.5,4,2,-2,0.0,5.97,5.97,4,2.631149626122110,0.26311496261221000,2.388,2.087909463035920,0.5000000026692100,1.6463260657414600,0.0,4.016399631414440,6.261706959579130,4.234235531446590,4.016399631414440,2.2453073281647000,6.261706959579130,5.87344385600204E-06
3.1,0,3,-3,0.0,1.65,1.65,6,1.9039955476301800,0.9519977738150890,3.3,0.5000000049067970,2.3773819825922600,2.7452758491828600,0.0,1.0828171743750100,3.0875104401612000,5.622657836681920,1.0828171743750100,2.00469326578619,3.0875104401612000,9.40505979201681E-05
3.2,0,3,-3,0.0,2.65,2.65,6,1.1855066617320000,0.5927533308659990,5.3,4.366253068932610,4.375305565821630,2.8828791257721400,0.0,0.30000012638326100,3.382212203127860,11.624437760526400,0.30000012638326100,3.0822120767446000,3.382212203127860,3.24366770154085E-06
3.2,1,3,-3,0.0,2.65,2.65,6,2.3710133234639900,0.5927533308659990,2.65,0.5000000112024960,2.2964669375945500,2.835932741760010,0.0,0.9959213141254780,3.9730430341723900,5.632399690557060,0.9959213141254780,2.977121720046910,3.9730430341723900,4.7251993852784E-05
3.3,0,3,-3,0.0,3.65,3.65,6,0.8607103160519980,0.4303551580259990,7.3,2.8712524219837300,5.563032754669490,0.5000000667746640,0.0,3.9064546992469300,8.201868027290660,8.934285243427890,3.9064546992469300,4.295413328043730,8.201868027290660,2.83068866734926E-05
3.3,1,3,-3,0.0,3.65,3.65,6,1.7214206321040000,0.4303551580259990,3.65,2.8548855288530900,4.263065727466660,4.2709920478890300,0.0,4.067392105627650,4.367392130309430,11.388943304208800,4.067392105627650,0.30000002468178,4.367392130309430,1.2462852218236E-05
3.3,2,3,-3,0.0,3.65,3.65,6,2.5821309481559900,0.4241121049350020,2.433333333333330,3.1724963676260200,0.5000000317717590,4.291265819295690,0.0,1.1751324548878000,2.6478037127132300,7.963762218693470,1.1751324548878000,1.4726712578254300,2.6478037127132300,0.0001409713641298300
3.4,0,3,-3,0.0,4.65,4.65,6,0.6756113233526440,0.33780566167632200,9.3,2.9622769926804600,5.311392639614780,2.9734985555316100,0.0,4.9999003682228700,5.352220251708240,11.247168187826800,4.9999003682228700,0.35231988348537300,5.352220251708240,3.77762228405959E-08
3.4,1,3,-3,0.0,4.65,4.65,6,1.3512226467052900,0.33780566167632200,4.65,3.00053532051651,4.396768486527680,0.8212673977859170,0.0,4.8937086650065700,5.200507676838930,8.21857120483011,4.8937086650065700,0.3067990118323690,5.200507676838930,2.45053572027664E-10
3.4,2,3,-3,0.0,4.65,4.65,6,2.0268339700579300,0.33780566167632200,3.1000000000000000,0.5000000514355250,4.137027095702910,2.8395396261836500,0.0,1.9344481855117700,6.845993019855920,7.476566773322080,1.9344481855117700,4.911544834344150,6.845993019855920,5.26495903084809E-05
3.4,3,3,-3,0.0,4.65,4.65,6,2.7024452934105700,0.3176801841328740,2.325,3.3808522967949500,2.38606952097779,0.6916629462069090,0.0,3.7706191584868000,5.903609596902350,6.458584763979650,3.7706191584868000,2.1329904384155500,5.903609596902350,8.49690498977083E-08
